variation,canonical_name
"Kavanagh Hynes","Paddy Kavanagh"
"Kavanagh Hynes","David Hynes"
"Kelly Kavanagh","Leonard Kelly"
"Kelly Kavanagh","Paddy Kavanagh"
"Laffan Joe","Gary Laffan"
"Laffan Joe","Joe Sullivan"
"Lawlor Kathleen","George Lawlor"
"Lawlor Kathleen","Kathleen Codd-Nolan"
"Lawlor Laffan","George Lawlor"
"Lawlor Laffan","Gary Laffan"
"Mary Mcdonald","Mary Farrell"
"Mary Mcdonald","Lisa McDonald"
"Mcdonald George","Lisa McDonald"
"Mcdonald George","George Lawlor"
"Moore Diarmuid","Jim Moore"
"Moore Diarmuid","Diarmuid Devereux"
"Moore John","Jim Moore"
"Moore John","John Hegarty"
"Murphy Andrew","Bridin Murphy"
"Murphy Andrew","Andrew Bolger"
"Murphy Anthony","Bridin Murphy"
"Murphy Anthony","Anthony Donohoe"
"Murphy Murphy","Bridin Murphy"
"Murphy Murphy","Barbara-Anne Murphy"
"Murphy Tom","Bridin Murphy"
"Murphy Tom","Tom Forde"
"O'Suilleabhain John","Fionntain O'Suilleabhain"
"O'Suilleabhain John","John Hegarty"
"O'Suilleabhain O'Rourke","Fionntain O'Suilleabhain"
"O'Suilleabhain O'Rourke","John O'Rourke"
"Oliver Joe","Oliver Walsh"
"Oliver Joe","Joe Sullivan"
"Owens David","Jackser Owens"
"Owens David","David Hynes"
"Sheehan Jim","Michael Sheehan"
"Sheehan Jim","Jim Moore"
"Staples Sheehan","Frank Staples"
"Staples Sheehan","Michael Sheehan"
"Sullivan Leonard","Joe Sullivan"
"Sullivan Leonard","Leonard Kelly"
"Sullivan Staples","Joe Sullivan"
"Sullivan Staples","Frank Staples"
"Walsh Garry","Oliver Walsh"
"Walsh Garry","Garry Laffan"
"Whelan Walsh","Michael Whelan"
"Whelan Walsh","Oliver Walsh"
"Willie David","Willie Kavanagh"
"Willie David","David Hynes"
"Joe Sullivan","Joe Sullivan"
"Oliver Walsh","Oliver Walsh"
"Barbara-Anne Murphy","Barbara-Anne Murphy"
"Donal Kenny","Donal Kenny"
"John Dwyer","John Dwyer"
"Ger Carthy","Ger Carthy"
"Garry Laffan","Garry Laffan"
"Pat Kehoe","Pat Kehoe"
"Anthony Donohoe","Anthony Donohoe"
"John Fleming","John Fleming"
