councillor,meetings_attended,apologies_recorded,motions_proposed,motions_seconded
"Lisa 

Ballygillane 

Residents 

Mcdonald 

Association 

Cllr Jim 

Codd 

Cllr Jim 
Moore",0,1,0,0
"Lisa 

Mcdonald 

Cllr Jim 

Codd 

Cllr Jim 

Moore",0,1,0,0
"Lisa 

Residents 

Mcdonald 

Association 

Special County Council Meeting",0,1,0,0
"Lisa Mcdonald 

Votes",0,1,0,0
Lorcan Allen,0,1,0,0
M Ball,0,0,1,0
M Kinsella,0,0,31,22
M Roche,0,0,14,26
Macpartlin Seconded,0,0,1,0
Malcolm Byrne,0,10,0,0
"Malcolm Byrne 

       Smoky Coal Ban  

 Noting 

 County Council Meeting",0,1,0,0
"Malcolm Byrne 
Noting",0,1,0,0
Marie Doyle,0,1,0,0
Martin Murphy,0,3,0,0
Marty Murphy,0,1,0,0
"Mary Farrell 

Votes",0,1,0,0
"Mary Farrell 
Cllr",0,1,0,0
"Maura Bell 

Expressions",0,1,0,0
Maurice Roche,0,1,0,0
Mcdonald,0,5,0,0
Mcdonald And,0,0,1,2
"Michael 
Whelan 

Wxf-C",0,1,0,0
Michael  Kinsella,0,1,0,0
Michael  Whelan,0,2,0,0
Michael Kinsella,0,1,0,0
"Michael Sheehan 

Congratulations",0,1,0,0
"Michael Whelan   

For",0,1,0,0
Michael Whelan’S,0,1,0,0
Mick Roche,0,1,0,0
Moore,0,5,0,0
Moore’S,0,1,0,0
Murphy,0,4,0,0
Mythen,0,3,0,0
Mythen And,0,0,0,1
O O',0,0,1,2
O O'Connell,0,0,16,10
O'Brien Following,0,0,0,1
O'Connell To,0,0,0,1
O'S,0,0,4,1
O'Suilleabhain,0,1,0,0
Oisin O’Connell,0,1,0,0
Owens,0,1,0,0
O’  Brien,0,1,0,0
O’ Brien,0,2,0,0
O’Brien,0,5,0,0
O’Brien’S,0,1,0,0
O’Connell,0,1,0,0
O’Rourke,0,3,0,0
O’S,0,5,0,0
O’Suilleabhain,0,2,0,0
P Cody,0,0,7,13
P Reck,0,0,48,16
Paddy Kavanagh,0,8,0,0
"Paddy Kavanagh 

Page",0,1,0,0
"Pat 
Barden",0,1,0,0
"Pat Codd 
Cllr",0,1,0,0
Pat Cody,0,2,0,0
Patricia Byrne,0,1,0,0
Patricia Roe,0,2,0,0
Pip  Breen,0,1,0,0
"Pip Breen 

Votes",0,1,0,0
"Pip Breen 
Cathaoirleach",0,1,0,0
"Pip Breen  

Cathaoirleach  

Michael Drea",0,2,0,0
"Pip Breen  
Cathaoirleach",0,12,0,0
Pso Td,0,1,0,0
R Ireeton,0,0,0,1
R Ireton,0,0,25,31
Robert Ireton,0,3,0,0
Roche,0,1,0,1
Roche A,0,0,0,1
Seo O'G,0,1,0,0
Sheehan,0,14,0,0
Sheehan And,0,0,0,2
Sheehan Following,0,0,1,0
Sheehan Seconded,0,0,2,0
Staples,0,5,0,0
Staples And,0,0,0,1
Sullivan,0,3,0,0
Sullivan’S,0,1,0,0
T Howlin,0,0,25,32
Tb Bcg,0,1,0,0
Td O'S,0,1,0,0
Ted Howlin,0,1,0,0
Thomas,0,1,0,0
"Tom Forde 
Mr",0,1,0,0
Tom Moorehouse,0,1,0,0
"Tony 
Dempsey",0,1,0,0
Tony  Walsh,0,1,0,0
Tony Dempsey,0,5,0,0
Tony Walsh,0,2,0,0
V Barron,0,0,6,7
Vicky Barron,0,2,0,0
"Vicky Barron 

Page",0,1,0,0
Wadding,0,2,0,0
Wadding’S,0,1,0,0
Walsh,0,9,0,0
Walsh’S,0,1,0,0
Whelan,0,4,0,0
Whelan Following,0,0,1,1
"William 
Shaw",0,1,0,0
"Willie 

Kavanagh",0,1,0,0
Willie Fitzharris,0,1,0,0
